position;code;name_en;purpose_de;name_en;purpose_en
112;S112;Produktentwicklungs-Software;Bereitstellung und Betrieb von Produktentwicklungs-Software (z.B. für die CAD-Verarbeitung von Konstruktionen und Verwaltung in einer Datenbank);Product development software;Provisioning and operation of a product development software
113;S113;Produktionsmessungs-System;Bereitstellung und Betrieb von Software für die Durchführung und Protokollierung von Messungen;Production measurement system;Provisioning and operation of a production measurement system
114;S114;Compliance-Software extern;Bereitstellung und Betrieb von Compliance-Software für externe Zwecke (z.B. für die Erstellung von Export Ausfuhrerklärungen für den Zoll);Compliance software external;Provisioning and operation of a compliance software for external purposes (export customs declaration)
115;S115;Fahrtenschreiber-System;Bereitstellung und Betrieb von Software für die Verwaltung und das Auslesen von elektronischen Fahrerkarten;Digital tachograph software;Provisioning and operation of a digital tachograph software
116;S116;Instant-Messaging-System;Bereitstellung und Betrieb von Software für die Kommunikation per Chat und IP-Telefonie;Instant messaging system;Provisioning and operation of an instant messaging system
117;S117;Waagenverwaltungssystem;Bereitstellung und Betrieb von Software für die Übermittlung von Gewichtsdaten von den Waagen;Industrial scale system;Provisioning and operation of an industrial scale system
118;S118;Business Continuity-System (inkl. Disaster Recovery);Bereitstellung und Betrieb eines Business Continuity-Systems (Disaster Recovery) mit Software evtl. mit Storage, Serverraum und USV;Business continuity system (incl. disaster recovery);Provisioning and operation of a business continuity system (incl. disaster recovery)
119;S119;Elektronische Test- und Messgeräte mit Software;Bereitstellung und Betrieb von elektronischen Test- und Meßgeräten mit Software;Electronic devices for testing and measuring;Provisioning and operation of electronic devices for testing and measuring
120;S120;E-Bilanz;Bereitstellung und Betrieb von Software für die Übertragung der Bilanz an Behörden per Datenübertragung;Electronic balance software;Provisioning and operation of an electronic balance software
121;S121;Online Datenbanken (e.g. Hoppenstedt);Nutzung von Online Datenbanken;Online databases (e.g. Hoppenstedt);Provisioning and operation of online databases (e.g. Hoppenstedt)
122;S122;Planogramm-Software;Bereitstellung und Betrieb von Software für die Planung und visuellen Darstellung von Produktplatzierungen auf Verkaufsmodulen und Regalsystemen;Planogram software;Provisioning and operation of a planogram software
